Change Physical Footprint: Designator=RLY1 Old Footprint=SRD-05VDC-SL-C New Footprint=SRD-05VDC-SL-C
Change Physical Footprint: Designator=SW1 Old Footprint=MX_SW-1 New Footprint=MX_SW-1
Change Physical Footprint: Designator=SW2 Old Footprint=MX_SW-1 New Footprint=MX_SW-1
Change Physical Footprint: Designator=SW3 Old Footprint=MX_SW-1 New Footprint=MX_SW-1
Change Physical Footprint: Designator=SW4 Old Footprint=MX_SW-1 New Footprint=MX_SW-1
Change Physical Footprint: Designator=SW5 Old Footprint=MX_SW-1 New Footprint=MX_SW-1
Change Physical Footprint: Designator=SW6 Old Footprint=MX_SW-1 New Footprint=MX_SW-1
Change Physical Footprint: Designator=SW7 Old Footprint=MX_SW-1 New Footprint=MX_SW-1
Change Physical Footprint: Designator=SW8 Old Footprint=MX_SW-1 New Footprint=MX_SW-1
Change Physical Footprint: Designator=SW9 Old Footprint=MX_SW-1 New Footprint=MX_SW-1
Change Physical Footprint: Designator=SW10 Old Footprint=MX_SW-1 New Footprint=MX_SW-1
Change Physical Footprint: Designator=SW11 Old Footprint=MX_SW-1 New Footprint=MX_SW-1
Change Physical Footprint: Designator=SW12 Old Footprint=MX_SW-1 New Footprint=MX_SW-1
